жарг. разг. эвф.
мн. ч. употр. только при словах\ имеющих форму мн. ч.\ а значение — ед. числа\ а также при сочетаниях колич. числит. с сущ. мн. нет\ в знач. сущ.
местоименное вопросительное слово в вопросах об образе действия союзное слово в придаточных предложениях образа действия подчинительный союз в конструкциях сравнения подчинительный союз в конструкциях отождествления подчинительный союз в конструкциях пояснения; обычно в начале предложения подчинительный союз
нареч. научн. разг. союз частица наречие ограничительное; при числительном (также и при пропущенном «один»)\ со словом «всего» или без него\ употр. в знач.: нареч.\ то же\ при любом слове\ со словом «всего» или без него\ употр. в знач.: союз. противительный; употр. для соединения предложений по способу сочинения в знач.:
разг.
разг.
разг. свойство
минер. неисч. перен. полигр. поэт.
архит. геол. жарг. исч. комп.жарг. мед. неисч. разг. спец. спорт. строит.
минер.
соотн.
комп. полигр. разг.
полигр. устар.
геогр. муз. перен. полигр.
полигр.
исч. неисч. полигр.
неисч. полигр. устар.
истор. неисч. полигр.
геометр. матем. муз. неисч. полигр. разг.
анат. военн. истор. лингв. полигр. техн.
полигр.
неисч. полигр.
неисч. полигр.
жарг. ирон. комп. неисч. перен. полигр. прогр. разг. устар.
полигр.
неисч. полигр.
неисч. полигр.
муз. неисч. полигр. редк.
неисч. полигр.
перен.
геогр. перен. полит.
истор.
разг.
аббр. разг.
жарг. перен. разг. устар.
разг.
биол. соотн.
биол. разг. спец.
разг. эвф.
высок. истор. в старой России
жарг. разг.
ласк. фам.
высок. истор. старин. устар.
разг.
разг. умласк.
жарг. разг.
разг.
прост.
перен. разг.
перен.
юр. в трудовом праве РФ
военн. жарг. перен. субстантивир.
бранн. вульг. перен. презр. спорт.
горн.
кинол. неодобр. охотн. разг.
крим. неодобр. разг. собир.
устар. филос.
разг.
хим.
хим.
парикмах.
действие
комп.жарг. матем. разг.
действие разг. физ. только ед. только мн.
юр.
филос.
перен.
книжн. разг.
матем. с [[к]] + дат. п.
перен. разг.
военн. истор. перен. ритор. старин. трад.-поэт. в России до 1917 г.
высок. спорт.
военн. жарг. истор. перен.
книжн. \ часто неодобр.
военн. лингв. экон.
истор. комп.жарг. полит. фин. юр.
действие
действие
ботан. высок. ед. ч. книжн. трад.-поэт. устар. церк. Архангельская область
книжн. мн. ч. проф. разг. свойство
свойство физ.
действие
действие перен. техн.
действие книжн. офиц.
действие кого.\ чья.\ с кем.\ с чем.
обл. техн.
комп.жарг.
в информатике
перен.
комп. матем. мед. перен. физ.
перен. физ.
перен.
перен.
перен. устар.
истор. перен. собир.
спец.
мед. спорт.
разг. спец.
научн.
перен.
разг.
архит.
устар.
в информатике в философии в материаловедении
техн.
комп. перен. разг.
лингв. социол. филос.
действие
перен.
с инф. кому-чему
перен. разг.
субстантивир.
вводн.
нареч.
действие
мед. разг.
действие
книжн.
свойство
перен. экон.
прост. устар.
матем. перен.
матем.
перен. разг. только соверш. вид\ с [[на]] + вин. п. обычно соверш. вид
перен. разг. устар. [[чем]] [[что]] и [[чего]] также [[налагать]]
неперех. разг.
действие
свойство
устар.
о телевизоре\ мониторе\ индикаторе
комп.
свойство
свойство
свойство
неол. перен. прост. разг.
зоол. сельск.
зоол. перен. унич.
юр.
перен. свойство
интернет. техн.
истор. перен.
перен.
действие перен.
истор. перен.
действие
действие
перен.
анат. высок. одуш. разг. устар.
анат.
перен.
перен. разг. в т. ч. с заглавной буквы
военн. кулин. мед. хим.
астрон. разг.
астрон. действие устар.
высок. действие ед. ч. металл. перен. поэт. устар. о солнце\ реже о других светилах
астрон. высок. перен. разг. спорт.
перен. обычно с определением
геол. лингв. матем. муз. спорт. устар.
перен. поэт. разг. социол. спец. физ. метафорически
зоол.
морск.
спорт.
разг. сниж. субстантивир.
жарг.
аббр.
исч. лингв. неисч. физ.
перен.
церк.
матем. перен. спорт. физ.
военн. высок. ед. ч. перен. ритор. церк. '''ча́са'''; при колич. числит.\ а также {{обл. в '''часу́'''; при колич. числит.{{- '''ча́са'''; при колич. числит.{{- '''ча́са'''\ {{обл. '''ча́са'''\ в '''ча́се'''\ со словом «[[последний]]» и без него (часто употр. с глаг. «[[пробить]]»\ «[[ударить]]») со словами «[[добрый]]» или «[[худой]]»\ «[[недобрый]]»\ а также без них (в том же знач.\ что со словом «добрый») преимущ. {{мн
обл.
разг. шутл.
разг. собир. экон.
перен. свойство часто мн. ч.
истор. прост. собир. устар. {{razr
истор.
перен. экон. обычно мн. ч.
соотн.
собир.
неол.
перен.
геогр.
астрон. геогр. перен. разг.
геогр.
геогр. охотн. перен.
геогр.
анат. ж.-д. матем. перен. прост. разг. физ.
действие разг. о человеке
юр.
свойство
перен.
действие
действие
действие
книжн. перен. спец.
полит.
прич.
военн. офиц. разг. устар.
лингв. спец.
астрон. жарг. неол. одуш. физ.
матем. неол. разг. устар. {{мн
публиц. устар.
книжн.
жарг.
прост. ударная с вопр. интонацией
аббр.
этногр. мн.
лингв. муз.
прост. психол. устар. филос. обычно {{мн
книжн.
опт.
военн. информ. морск. разг. спорт. шутл.
перен. пренебр.
филос.
свойство
психол.
психол.
психол.
книжн.
перен. разг. 3-е л. \ обычно с инфин.
перен. 3-е л.
перен. разг. о растениях о млекопитающих с сущ. типа клятва\ присяга\ повинность {{итп 3-е л.\ часто безличн.
нареч. прост. в значении утвердительной частицы безличн. в знач. сказуемого
действие
действие
спорт. техн.
действие
действие разг.
жарг. комп. перен. пренебр. разг.
биол.
действие истор. книжн. комп. неол. театр. техн. устар.
прич.
прич.
спец.
исч. неисч. устар. церк. обычно во мн. ч. {{тж.
книжн. спец.
воинских подразделений
полит.
перен.
биол. неодобр.
устар.
свойство
обычно мн. ч.
высок. ед. ч.
фин. экон. юр.
с кем
офиц.
биол.
разг. свойство юр.
матем. свойство
свойство
свойство
свойство
прост. спец. с отрицанием\ в сочетаниях типа [[уж и не рад]]\ [[и сам не рад]]{{- бюрокр.
устар.
устар.
действие
разг.
аббр.
перен.
перен.
перен. разг.
горн. перен. разг.
действие
действие жарг. комп. техн.
лингв.
действие матем. экон.
информ. соотн.
разг.
бухг. комп. лингв. соотн.
перен.
прич.
перен. техн.
разг.
ж.-д. перен.
лог.
военн. действие фин.
действие
действие
экон.
фин.
действие лингв. юр.
действие
действие
действие
действие экон.
неодобр.
перен.
книжн.
перен. свойство
действие
перен. экон.
действие перен.
свойство фин.
перен. экон. юр.
действие
действие спец.
свойство
свойство
матем.
разг.
свойство
свойство
бранн. жарг. одуш.
перен. только ед. типогр.
полигр.
спорт.
перен.
военн. разг.
военн.
вводн. нареч.
прост.
союз част.
нареч. устар. част. вводное слово
биол. перен. поэт. устар. только {{ед.
геральд. устар.
военн. истор.
геогр. перен. прост.
разг.
геогр.
геогр.
геогр.
геогр.
геогр. истор.
перен. пренебр. разг.
полит.
геогр.
геогр.
геогр. полит.
офиц.
груб. пренебр.
биол. высок. перен. + род. п.
религ.
перен. религ. церк. в христианстве
ед. ч. разг. собир. устар.
перен.
религ.
астрон. высок. перен.
религ.
религ.
перен.
матем. перен. устар. ([[пространственный
действие перен. разг. физ.
геометр. книжн. перен.
перен.
разг. филос. [[чего]] и с неопр.
техн.
неисч. пренебр. собир. шутл.
истор. устар.
мифол.
прост. устар. в знач. сказ.
о болезни\ болезненном или физиологическом [[состояние о [[чувство о ткани
лингв. обычно мн. ч.
перен. прост. разг. устар.
разг. физ. эл.-техн.
нареч. предик. разг.
нареч. перен. разг.
истор.
автомоб.
книжн.
геометр. матем. перен.
анат. геометр. истор. матем. перен. техн.
матем.
матем.
матем. перен. разг.
биол. перен. разг.
разг. сниж.
перен.
техн. мн.
физ.
адъектив. перен. прич.
прост. фам.
прич.
прич.
?
адъектив. прич.
действие
действие
действие
фин. экон.
устар.
действие
действие
действие спец.
авиац. действие полигр.
разг.
матем. муз.
полигр.
комп. полигр. техн.
анат.
анат.
библейск. филол.
дипл. устар.
астрон. действие комп. лингв. матем. муз. экон.
действие
действие
высок. полит.
действие устар. филос.
лингв. муз. сленг
интернет.
комп. разг.
неол. экон.
действие комп. филос.
книжн.
лингв. прогр. юр.
неодобр. перен. спорт. хим. о человеке
в соревновании\ в спорте
разг. неизм. в знач. сказуемого (обычно с указательным местоимением [[это]])
юр.
?
военн. перен. физ.
лингв. мед. разг. филос. юр.
экон.
действие устар.
военн. геометр. матем. перен. разг. техн. евкл. точка (чего-л.) частный случай точка[1]
филос.
действие комп. лингв.
аббр. авиац. военн. ж.-д. комп. полит. юр.
биол. перен. разг.
комп. перен. предик. прогр. социол. в объектно-ориентированном программировании в различных системах классификации в учебн. заведениях
прогр.
разг. кого.
неперех. разг.
устар.
авиац. ботан. военн. жарг. спорт.
военн. разг. спец.
кулин. разг.
действие
действие
прост.
разг.
мифол. прост. разг. устар. указывает на (обычно ранее упомянутые) предметы (лица) во множественном числе\ к которым говорящий не относит ни себя\ ни адресатов высказывания обычно как уточнение со сл. с частицей [[вот]] приобретает указательный или усилительный характер указывает на одно лицо\ используется как уважительная форма называния («лакейское ''они''»)
прост. устар. шутл. сиб. вологодск.\ сиб.
кулин. разг.
перен.
геогр. перен. устар. эл.-техн. только ед. обычно в уст. сочет. [[опустить на землю]]\ [[сойти на землю]]\ [[опуститься на землю]]\ [[спуститься на землю]]
ботан.
техн.
соотн.
офиц. церк.
полит. религ.
геогр.
перен.
офиц.
трад.-поэт. устар.
религ.
мифол. религ.
бранн. перен. разг. религ.
бранн. разг. религ.
мифол.
ед. ч. жарг. мифол. перен. прост. разг. религ. сниж. в знач. наречия ? в ряде верований в авраамических религиях в роли междометия
религ.
религ.
религ. в [[иудаизм
библейск. религ.
религ. филос.
религ. у христиан
церк.
перен. разг. религ.
книжн. комп. мифол. религ. чего или какой
религ.
религ.
комп.жарг. перен.
действие прост. разг.
геогр.
спорт. техн.
мед. техн.
перен. об оружии
перен.
перен. собир.
анат. военн. геометр. геральд. матем. прогр. разг. религ. физ. филос. шутл. эвф. Астрахань Урал
перен.
лингв. о звуке
лингв.
свойство
действие
действие рыбол.
действие
техн.
действие
действие
грам. действие комп.
морск.
действие книжн. перен. разг.
перен. разг. физиол.
анат. истор. муз. филол.
фин. экон.
геометр. перен. разг. в общении\ конфликте {{итп с предл. [[в]] + вин. или предл. п.\ или с предл. [[с]] (со) + род. п.
ирон. перен. разг.
действие
анат. военн. жарг. кулин. лингв. перен. поэт. разг. устар.
лингв.
искусств. истор. комп.
косм.
косм. разг.
перен. разг.
действие
разг. сленг неопр. местоим.
действие
собир.
перен. разг. техн.
муз. устар.
военн. спец. часто {{мн
действие полит.
торг.
горн. жарг. обл. перен. разг. сельск.
перен.
техн.
книжн. перен. техн.
действие
действие
перен. разг.
разг. филос.
перен. психол. социол. филос.
действие матем. перен. спец.
перен. разг.
действие
матем. техн. физ.
свойство
перен. физ.
спец.
свойство
обычно мн. ч.
действие
мн. ч. перен. разг.
перен. разг.
жарг. разг. сниж. спец.
информ. комп. перен. разг.
биол. спорт.
биол. бранн. перен.
книжн. комп. перен. старин.
анат.
вульг. перен. прост. без доп. и с доп. кого. чего. и без доп. что. и без доп. на кого. на что. {{сленг
вульг. перен.
действие разг.
вульг. действие
груб. действие перен. разг.
перен.
экон.
вульг.
мол.
пренебр. прост.
действие разг.
действие перен. устар.
интернет. лингв.
военн. жарг. перен. спец. спорт. устар. шахм.
геометр. перен. физ.
перен.
жарг. зоол. пренебр. разг.
комп. юр.
страд. устар. кем-чем чем с абстрактн. сущ.\ обозначающими нечто хорошее у кого
перен.
перен. разг.
разг.
перен.
действие комп. религ.
свойство
офиц.
действие разг. спец.
разг.
действие канц. книжн. муз. спец. техн. устар. физ. фотогр. только ед.
перен.
юр.
состояние
биол. лингв. перен. устар.
перен.
жарг.
разг. собир.
действие
действие
только ед.
действие
действие офиц.
действие матем. в исследовании операций
перен. устар.
разг. спец.
комп. устар.
действие устар.
устар.
перен.
перен. разг.
высок. трад.-поэт. устар.
офиц. перен. спорт. в [[бейсбол]]е
военн. истор.
мед.
в сочетании [[в случае]]
перен.
ихтиол. кулин.
действие мн. ч.
высок. устар.
высок. жарг. религ.
действие перен.
горн. телеком.
действие физ.
физ.
действие матем.
действие
муз. шутл.
дипл. устар.
действие лингв. муз. филол.
перен. физиол.
разг. техн. филос. шахм. экон.
научн.
истор.
перен.
военн. перен.
перен.
высок. перен.
истор.
прич.
военн. мед. перен.
разг.
техн.
ихтиол. перен.
ед. ч. жарг. зоол. ихтиол. кулин. пренебр. прост. разг. собир. на [[флот]]е в игре в [[домино]] в издательском деле\ медиа-индустрии {{итп
ихтиол. палеонт.
биол. перен.
перен.
устар.
орнитол. перен. прост.
неодобр.
прогр.
действие комп.
комп.
соотн.
жарг. перен. разг. на кого-либо
свойство
свойство
перен. состояние
перен. свойство
комп.жарг.
биол. информ. мед. перен.
комп. мифол. перен.
умласк.
книжн. перен.
ботан. плотн.
военн. перен.
субстантивир. ср. род
разг. обычно краткая форма только полная форма Архангельск.\ Олон.\ Петрозаводск.\ Псковск. Тверск.
грам.
прост. разг.
разг. + твор. п. + [[без]] + род. п. + [[в]] + вин. п.
книжн. разг.
безл. \ с неопр. формой глагола
швейн.
книжн.
устар.
разг.
перен. разг.
перен. устар. что чем.
книжн. муз.
разг. что кого-что ?
устар.
нареч.
нареч. прогр. техн. физ.
в англоязычных странах в буржуазно-дворянском быту дореволюционной России
?
геогр. диал. ед. ч. мед. парикмах. перен. полит. разг. трансп. устар. хим. экон. поморск.
разг. свойство физ.
военн. перен. религ.
исч. неисч. обобщ. перен. устар. обычно {{мн Санкт-Петербург
исч. метеорол. неисч. перен. разг.
метеорол. перен. спец.
метеорол. сельск.
перен. шутл.
разг. физ.
информ. книжн. неол. перен.
геометр. метеорол. перен. поэт. разг. собир. старин. устар. чего.
перен. разг.
действие
перен. Квебек
анат. зоол.
в русскоязычной речи [[чеченец
обл.
жарг. исч. неисч. хим.
хим.
хим.
устар. хим.
хим.
хим.
хим.
шутл.
военн. мн. ч. разг. текст. физ. хим. о напитке часто мн. ч.
неисч. хим.
хим.
действие разг.
биол. перен.
ботан. гастрон. мифол.
редк.
разг. устар.
неодобр. перен. собир. устар.
исч. неисч.
геогр. перен. поэт. + род. п. только ед. ч.
морск.
действие
перен.
гастрон. перен.
гастрон.
?
перен. поэт.
действие физиол. филол.
техн. физ.
действие перен. разг.
о таком (или немного бо́льшем) [[промежуток о таком промежутке времени по [[восточный календарь
прич.
перен.
религ.
действие
действие
обычно {{мн.
лингв.
разг.
анат. перен. разг. сниж.
груб. дисфм. обл. прост. рыбол. техн.жарг.
мед. перен. разг.
только {{мн. чего.\ какое. обычно {{мн
устар.
умласк.
хим.
геогр.
устар.
устар.
информ. комп. матем. перен. прогр. психол. физ.
неол.
действие перен.
книжн. филол.
действие перен.
перен. спец. обычно с мест. [[себя]]
прич.
нареч. предлог\ с род. п.
устар.
субстантивир.
комп. перен. разг. устар.
военн. истор. перен. прост. фин. в Российском государстве до 1917 г.
действие канц. устар. филол.
действие истор. прогр.
действие
геод. действие охотн. полигр. техн. устар.
лингв. матем. религ.
действие только ед.
анат. книжн. лингв. одуш. офиц. перен. спец. юр.
лингв.
геометр. перен. разг. техн.
действие
действие
лингв. и в экстенсиональной логике
перен.
перен.
жарг. неперех. полигр. разг. устар. употр. в повел. употр. во 2-м л.
спорт.
действие
свойство
высок. действие перен. устар.
действие
перен. в знач. междометия\ неизм.
книжн. лингв.
прич. хим. шахм. с чем.
офиц. филос.
книжн. лингв.
неисч. разг. умласк. в кавычках
умласк.
умласк.
ирон. умласк.
военн.
военн. перен.
собир.
аббр. военн.
перен. разг.
книжн. перен. прост. разг. фам. обычно со словом «вся»
проф.
мн. ч. устар.
лингв.
= военн. перен. прост. спорт. театр.
перен. поэт. шахм. шутл.
астрон. биол. ботан. бранн. геол. истор. комп. лингв. матем. перен. спорт. физ. мн.ч
морск. разг.
поэт. собир. техн.
геогр. разг. техн.
неперех. перен. устар.
нареч.
разг. экспр.
перен. разг. хим. о болезнях\ патологических процессах
прич.
прич.
свойство
действие книжн.
свойство
устар.
действие
разг.
действие
бухг. действие муз. перен. разг. спорт. фин. мн. ч. счета́
муз. перен. разг.
свойство
свойство
фин.
военн. устар.
книжн. лингв. перен.
перен.
спорт.
офиц.
неперех. перен. перех. прост.
мед. перех. устар. с предл. [[за]] + тв. п. с предл. [[над]] + тв. п.
книжн.
военн.
геогр. полит.
лингв. психол.
соотн.
действие матем. мех.
действие
действие физ. филос. только {{ед
действие лингв. мех. перен. разг. сельск. спец. шутл. экон.
действие лингв. спец.
сельск.
действие прост. проф. разг.
действие разг. спец. спорт.
свойство ?
лингв. матем. муз. в комбинаторике
жарг. перен.
информ. неол.
комп.
действие фин. экон.
действие
истор.
военн. спорт.
морск.
разг.
перен.
перен. разг.
перен. разг.
техн. совр.
действие комп. перен. разг.
действие
действие
зоол. неодобр. перен. разг.
одуш. разг.
биол. книжн.
перен. прост.
психол. разг. обычно мн.
матем. разг. фин. экон. часто мн. ч.
свойство
страд. устар. кем-чем кого-чего употр. с отрицанием
перен.
свойство
перен. разг. устар.
спорт.
разг. указывает на предмет речи\ выраженный в предшествующем или в последующем повествовании существительным м. р. ед. ч.
бранн. зоол. неодуш. перен. прост. разг. ритор. сленг техн.жарг. предикатив: на что\ в чём и с неопред.
зоол. юр.
биол. матем. перен. разг.
субстантивир.
кинол.
жарг. спорт.
женск. кинол.
охотн. устар.
разг.
бранн. груб. перен. пренебр. прост. разг. сниж.
жарг. зоол. муз. перен. разг. спец. устар. волжск.
зоол.
неодобр. перен. унич. обычно с определением
неисч. неодуш. одуш. пренебр. редк. увелич.
истор.
истор. муз. перен. поэт. театр.
жарг. обл. разг. частица
геол.
прост.
разг.
ласк. эвф.
карт. перен. спорт. устар.
биол.
бранн.
бранн. разг.
бранн.
бранн. перен. прост. собир.
бранн. груб. прост.
действие матем. прогр.
перен.
прост.
разг. спорт. устар. в Российском государстве XIV–XIX вв.
информ. филол.
неодобр. перен. разг.
уменьш.
военн. диал. жарг.
военн. жарг. зоол. прост. разг.
ж.-д. устар. трамвайн.
ж.-д.
разг.
комп. техн.
комп.
разг. шутл.
ирон. разг. шутл.
книжн. поэт. устар.
аббр. интернет.
неодобр. прост.
прич.
свойство
сексол.
неодобр. устар.
жарг. перен. разг.
металл. перен. разг. спец. строит. техн. арх.
муз. разг. ср. р. субстантивир. устар. с определением ''кратк. ф.''
спорт.
разг.
зоол.
ирон. устар.
перен.
зоол. пренебр.
истор.
разг.
собир.
устар. нижегородское\ по Ветлуге
перен.
высок. перен. поэт. устар.
детск. кулин. мифол. нар.-разг. перен. пренебр. прост. разг. техн. устар.
разг.
разг.
вульг. ирон. пренебр. прост.
военн. жарг. зоол. неодобр. разг. шахм.
анат. артилл. истор. устар.
книжн. обл. перен. разг.
геометр. карт. муз. перен. разг. спорт. устар. филол. хореогр. шахм.
жарг.
жарг. шахм.
жарг. перен. разг.
зоол. перен. прост.
истор. сленг обычно {{пренебр.
арм. разг. спец. техн.
разг.
свойство
действие
действие
свойство этнолог.
устар.
геогр. косм. перен. спец. техн. устар.
перен. пренебр. собир.
биол. спец. уменьш. умласк.
матем.
действие разг.
перен.
полит.
перен.
истор. разг. религ. церк.
соотн.
информ. комп. неол. перен. разг. устар. шутл.
разг.
геогр. карт. обл. перен. только мн. только {{мн.
перен.
геогр. жарг. матем. неол. перен. устар.
астрон.
жарг. мифол. мол. нар.-поэт. перен. разг. сниж.
религ.
действие
действие разг.
прич.
военн. перен. техн.
комп. перен. спец.
перен. разг. соотн. о взгляде\ взоре
перен.
сленг
зоол. перен. разг. собир. фам.
субстантивир. \ ср. р.\ мн. ч.
разг.
разг.
перен.
диал.
перен. разг.
детск. разг. техн.жарг. устар. церк.
жарг. комп.жарг. кулин. перен. пренебр. разг. собир.
прост. редк.
устар.
авиац. перен. разг. спорт.
перен. спец. об атмосферных осадках о свете\ тени
перен.
перен. разг. + [[на]] + предл. п. что делает и без доп.\ также на кого.\ на что.
разг. фам.
перен. разг.
перен. полит. пренебр. спорт. о величине
перен. разг.
прич.
книжн. перен. полигр. церк.
разг.
поэт.
спорт.
перен.
неодобр. перен.
диал. прост. устар.
перен.
разг.
о коже лица\ тела
перен. хим.
матем. о человеке
жарг. перен. разг. кратк. ф. обычно кратк. ф.
техн. устар. хим.
разг.
соотн.
полит. соотн.
истор. соотн.
истор.
истор. перен. разг.
истор.
неодобр. советск.
неодобр. советск.
неодобр. советск.
истор.
антроп.
разг. как
перен. разг. обычно {{ед
биол.
ед. ч.
биол. жарг. зоол. кулин. неисч. перен. разг. {{тж. {{разг.
соотн.
генет.
биол.
биол. генет.
научн.
ботан. зоол. перен.
зоол. разг. эвф.
анат. зоол. комп. перен. поэт. разг. ритор. собир. ж.р. (в бытовом употреблении) часто с доп.: чего?
перен.
свойство
хим.
биол. кулин.
анат. биол. зоол. перен.
прост.
детск. перен. прост. обычно в выражении [[кверху какой
неол.
церк.
кулин. эвф.
жарг. женск. кулин. мол. перен. разг. устар.
кулин.
геометр.
геол. геометр.
перен.
анат.
мед.
детск. устар.
ласк. прост.
вульг. мн.
анат. спец. обычно мн.
перен.
авиац. экон.
авиац. разг. шутл.
авиац.
авиац.
женск.
собир.
аббр.
устар.
астрон.
астрон. ботан. геометр. зоол. книжн. перен. поэт. прост. ритор. устар. эвф. в немногих выражениях\ восходящих к астрологическим поверьям
астрол. астрон. перен.
астрон.
астрон.
астрон.
астрон.
астрон.
астрон. истор. неол. перен. разг.
астрон.
астрон.
действие
спорт.
спорт.
действие перен. разг.
действие
действие
разг. спорт.
высок. книжн. перен. устар.
перен. о судебном деле о докладе\ отчете\ сообщении иногда упорт. как {{перех. об управляемых аппаратах\ механизмах\ машинах {{итп
неодобр. юр.
действие
разг. юр.
действие разг.
разг.
свойство
канц. книжн. с вин. п. с предл. п. с дат. п. с дат. или\ реже\ с предл. п.
разг. с доп. о насекомых о грызунах\ насекомых\ молюсках {{итп о [[дым]]е\ [[газ]]е\ [[мыло о [[болезнь
ирон. перен. разг.
разг. указательная [[частица]]\ перед стоящими или подразумеваемыми словами: [[как]]\ [[куда]]\ [[какой]] {{итп
употр. в знач. предлога с род. п.
кем-чем только полн. формы чего. чего\ чем кого-чего\ кем-чем чего или чем
полн. форма
матем. подчёркивает значительность\ полноту\ большое количество чего-либо
ботан.
перен.
перен.
высок. перен. ритор.
перен.
редк.
книжн.
информ. театр.
перен. разг. редк. спец. физ. обычно в розничной торговле с опред. обычно с отриц. в функц. сказ. кому
с одушевлёнными существительными муж. р.\ личными местоимениями во мн. ч. и без зависимого слова (обычно им. и вин. п.); с существительными\ имеющими лишь множественное число (обычно им. и вин. п.); с некоторыми существительными\ обозначаемыми па́рные объекты
перен.
часто неодобр.
перен.
перен.
перен.
свойство
религ.
мн. ч. перен. разг.
перен. часто во {{мн
прогр.
комп.
перен.
прост. разг. устар.
собир.
действие
собир.
действие
полит. юр.
ж.-д. жарг. перен. субстантивир.
разг. субстантивир. фам.
лингв.
субстантивир.
кулин. перен. разг.
разг.
разг. энтомол.
военн.
перен. разг.
военн. морск.
военн. спец.
перен. разг.
разг. фам.
жарг.
анат. зоол. карт. перен. разг. техн.
разг. свойство
психол. спец.
действие разг. физ. теории поля
действие
действие
действие полит. устар. юр.
действие
действие
действие
действие комп. перен. разг.
действие
действие
свойство
действие перен. разг. устар.
действие
геол.
действие книжн. экон.
разг. эвф. указательная частица усилительная частица указательное слово
адъектив. разг.
предик. разг. эвф. [[союз]] [[частица]]
перен.
биол. высок. мед. перен. поэт. текст.
книжн. перен. текст. обычно {{мн
разг.
разг.
устар.
соотн.
комп. прогр.
?
прост. разг. собир.
комп. техн.
антроп. презр. разг.
антроп.
устар.
антроп. биол. ирон. презр. разг.
интернет. эвф.
зоол. перен. разг.
унич.
перен. религ. христ. мн. ч. не употр.
военн. собир. устар.
устар.
юр.
перен. юр.
действие спорт. обычно мн.
перен. разг.
сельск.
книжн. устар.
неодуш. одуш.
комп. перен.
перен. разг. шутл. чего.
перен. разг.
диал.
геогр. редк. сельск. сиб.
разг. Даль
разг.
аббр. разг.
перен.
морск.
геол. разг.
обл.
диал. спец.
диал.
метеорол.
жарг. ихтиол. кулин. спорт.
физ.
мед. перен.
жарг.
книжн. матем. филос. экон.
лингв. спец.
геометр. действие перен. хим.
информ. комп. матем. перен. разг. в сетевых технологиях
перен.
разг. устар.
спец. техн.
авиац. ж.-д. матем. перен. спорт.
морск. разг.
устар.
архит. строит.
комп.жарг. мн. ч. полигр. пренебр. шахм.
архит. морск.
перен. уменьш.
прост.
перен. разг. сексол.
обл. устар.
архит. строит.
полигр. фин.
матем. хим.
ru
книжн. комп. перен. поэт. только ед. только мн. чего мн. употр. иногда в том же знач.\ что ед. в многоуровневом маркетинге
действие
анат. перен.
геол. матем. мол. проф. разг. трансп. трамвайный жаргон
анат. соотн.
анат.
анат. уменьш.
анат.
анат.
анат.
поэт. устар.
полит. разг. субстантивир.
анат. горн. книжн. поэт.
прост.
геометр. перен. редк. физ.
чья-то
ботан. разг.
перен. разг. физиол.
муз.
разг. с определением
разг.
неол.
мед.
разг.
разг.
книжн.
разг.
книжн.
перен. техн.
прич.
книжн. без доп. чем или на что
разг. ([[еда (о звуках\ мыслях и т.п.)
